product;data;quantity;cd
341;01-02-2024;1;1006
341;01-03-2024;6;1006
341;01-04-2024;3;1006
341;01-09-2024;1;1006
341;01-10-2024;1;1006
341;01-02-2023;4;1006
341;01-03-2023;6;1006
341;01-04-2023;14;1006
341;01-05-2023;12;1006
341;01-06-2023;6;1006
341;01-07-2023;11;1006
341;01-08-2023;7;1006
341;01-10-2023;8;1006
341;01-12-2023;11;1006
341;01-03-2025;1;1006
341;01-09-2024;2;1024
341;01-04-2023;2;1024
341;01-06-2023;2;1024
341;01-05-2024;1;1021
341;01-09-2024;1;1021
341;01-02-2023;1;1021
341;01-03-2023;1;1021
341;01-04-2023;1;1021
341;01-07-2023;2;1021
341;01-08-2023;4;1021
341;01-02-2024;1;1023
341;01-04-2023;1;1023
341;01-01-2024;1;1002
341;01-05-2024;8;1002
341;01-06-2024;1;1002
341;01-11-2024;1;1002
341;01-03-2023;8;1002
341;01-04-2023;9;1002
341;01-05-2023;1;1002
341;01-07-2023;9;1002
341;01-08-2023;3;1002
341;01-09-2023;1;1002
341;01-10-2023;1;1002
341;01-12-2023;3;1002
341;01-01-2024;5;1036
341;01-02-2024;1;1036
341;01-03-2024;2;1036
341;01-04-2024;3;1036
341;01-05-2024;1;1036
341;01-06-2024;1;1036
341;01-07-2024;2;1036
341;01-09-2024;7;1036
341;01-10-2024;1;1036
341;01-02-2023;7;1036
341;01-03-2023;17;1036
341;01-04-2023;4;1036
341;01-05-2023;8;1036
341;01-06-2023;3;1036
341;01-07-2023;20;1036
341;01-08-2023;10;1036
341;01-09-2023;11;1036
341;01-10-2023;1;1036
341;01-12-2023;9;1036
341;01-02-2025;8;1036
341;01-10-2024;1;1006
341;01-12-2024;1;1006
341;01-12-2023;1;1006
341;01-02-2024;1;1036
341;01-04-2024;1;1036
341;01-07-2024;1;1036
341;01-07-2023;1;1036
